,date,team,opponent,game_time,attendance,night_game,home
165,"Saturday, Sep 30 2017",MIA,ATL,2:59,"25,264",1,1
167,"Sunday, Oct 1 2017",MIA,ATL,3:19,"25,222",0,1
0,"Sunday, Apr 2 2017",NYY,TBR,3:21,"31,042",0,0
1,"Tuesday, Apr 4 2017",NYY,TBR,3:07,"19,366",1,0
2,"Wednesday, Apr 5 2017",NYY,TBR,3:17,"12,737",1,0
3,"Friday, Apr 7 2017",NYY,BAL,3:20,"25,248",1,0
4,"Saturday, Apr 8 2017",NYY,BAL,3:35,"38,916",0,0
5,"Sunday, Apr 9 2017",NYY,BAL,3:22,"42,487",0,0
6,"Monday, Apr 10 2017",NYY,TBR,2:37,"46,955",0,1
7,"Wednesday, Apr 12 2017",NYY,TBR,3:33,"38,002",0,1
8,"Thursday, Apr 13 2017",NYY,TBR,2:59,"34,772",1,1
9,"Friday, Apr 14 2017",NYY,STL,2:54,"39,102",1,1
10,"Saturday, Apr 15 2017",NYY,STL,3:05,"43,031",0,1
11,"Sunday, Apr 16 2017",NYY,STL,3:17,"31,706",1,1
12,"Monday, Apr 17 2017",NYY,CHW,2:49,"28,181",1,1
13,"Tuesday, Apr 18 2017",NYY,CHW,2:16,"30,075",1,1
14,"Wednesday, Apr 19 2017",NYY,CHW,2:40,"30,014",1,1
15,"Friday, Apr 21 2017",NYY,PIT,3:19,"30,565",1,0
16,"Saturday, Apr 22 2017",NYY,PIT,3:17,"36,140",0,0
17,"Sunday, Apr 23 2017",NYY,PIT,2:39,"27,840",0,0
18,"Wednesday, Apr 26 2017",NYY,BOS,3:16,"32,072",1,0
19,"Thursday, Apr 27 2017",NYY,BOS,2:21,"34,054",1,0
20,"Friday, Apr 28 2017",NYY,BAL,3:41,"36,912",1,1
21,"Saturday, Apr 29 2017",NYY,BAL,3:12,"37,303",0,1
22,"Sunday, Apr 30 2017",NYY,BAL,4:37,"41,022",0,1
24,"Monday, May 1 2017",NYY,TOR,2:58,"25,566",1,1
25,"Tuesday, May 2 2017",NYY,TOR,3:31,"30,058",1,1
26,"Wednesday, May 3 2017",NYY,TOR,3:39,"35,559",1,1
27,"Friday, May 5 2017",NYY,CHC,3:17,"40,395",0,0
28,"Saturday, May 6 2017",NYY,CHC,3:19,"40,735",1,0
29,"Sunday, May 7 2017",NYY,CHC,6:05,"40,584",1,0
30,"Monday, May 8 2017",NYY,CIN,3:28,"25,960",1,0
31,"Tuesday, May 9 2017",NYY,CIN,2:49,"22,035",1,0
32,"Thursday, May 11 2017",NYY,HOU,3:09,"39,050",1,1
33,"Friday, May 12 2017",NYY,HOU,3:09,"41,150",1,1
34,"Sunday, May 14 (1) 2017",NYY,HOU,3:20,"47,883",0,1
35,"Sunday, May 14 (2) 2017",NYY,HOU,3:49,"47,883",1,1
36,"Tuesday, May 16 2017",NYY,KCR,3:02,"30,878",1,0
37,"Wednesday, May 17 2017",NYY,KCR,3:23,"22,899",1,0
38,"Thursday, May 18 2017",NYY,KCR,2:34,"22,803",1,0
39,"Friday, May 19 2017",NYY,TBR,3:18,"21,146",1,0
40,"Saturday, May 20 2017",NYY,TBR,3:50,"22,864",0,0
41,"Sunday, May 21 2017",NYY,TBR,3:26,"20,873",0,0
42,"Monday, May 22 2017",NYY,KCR,2:42,"35,005",1,1
43,"Tuesday, May 23 2017",NYY,KCR,2:47,"35,931",1,1
44,"Wednesday, May 24 2017",NYY,KCR,2:40,"34,610",1,1
45,"Friday, May 26 2017",NYY,OAK,3:09,"39,044",1,1
46,"Saturday, May 27 2017",NYY,OAK,3:14,"40,218",0,1
47,"Sunday, May 28 2017",NYY,OAK,3:09,"45,232",0,1
48,"Monday, May 29 2017",NYY,BAL,2:54,"40,242",0,0
49,"Tuesday, May 30 2017",NYY,BAL,3:19,"16,126",1,0
50,"Wednesday, May 31 2017",NYY,BAL,3:18,"22,983",1,0
